Group,Family,Scientific_name,Name_Status,Accepted_Name,Taxonomic_Note,Origin,FloraStatus,ConceptNum,Acronym,FloraPage,Scientific_name_auths
Dicotyledons,Orobanchaceae,Pedicularis bracteosa,Accepted,Pedicularis bracteosa,Bare species,native,,9696,PEDBRA,,Pedicularis bracteosa Benth. 
Dicotyledons,Orobanchaceae,Pedicularis bracteosa var. flavida,Accepted,Pedicularis bracteosa var. flavida,,native,,2933,PEDBRAFLA,,Pedicularis bracteosa Benth. var. flavida (Pennell) Cronquist 
Dicotyledons,Orobanchaceae,Pedicularis bracteosa var. pachyrhiza,Accepted,Pedicularis bracteosa var. pachyrhiza,,native,,2934,PEDBRAPAC,,Pedicularis bracteosa Benth. var. pachyrhiza (Pennell) Cronquist 
Dicotyledons,Orobanchaceae,Pedicularis centranthera,Accepted,Pedicularis centranthera,,native,,2937,PEDCEN,,Pedicularis centranthera A. Gray 
Dicotyledons,Orobanchaceae,Pedicularis contorta,Accepted,Pedicularis contorta,,native,,2940,PEDCON,,Pedicularis contorta Benth. 
Dicotyledons,Orobanchaceae,Pedicularis contorta var. contorta,Synonym,Pedicularis contorta,,,,2940,PEDCONCON,,Pedicularis contorta Benth. var. contorta 
Dicotyledons,Orobanchaceae,Pedicularis densiflora,Accepted,Pedicularis densiflora,Bare species,native,,14499,PEDDEN,,Pedicularis densiflora Benth. ex Hook. 
Dicotyledons,Orobanchaceae,Pedicularis densiflora ssp. aurantiaca,Accepted,Pedicularis densiflora ssp. aurantiaca,,native,,13934,PEDDENAUR,,Pedicularis densiflora Benth. ex Hook. ssp. aurantiaca E.F. Sprague 
Dicotyledons,Orobanchaceae,Pedicularis densiflora ssp. densiflora,Accepted,Pedicularis densiflora ssp. densiflora,,native,,2945,PEDDENDEN,,Pedicularis densiflora Benth. ex Hook. ssp. densiflora 
Dicotyledons,Orobanchaceae,Pedicularis flavida,Synonym,Pedicularis bracteosa var. flavida,,,,2933,PEDFLA,,Pedicularis flavida Pennell 
Dicotyledons,Orobanchaceae,Pedicularis groenlandica,Accepted,Pedicularis groenlandica,,native,,2966,PEDGRO,,Pedicularis groenlandica Retz. 
Dicotyledons,Orobanchaceae,Pedicularis groenlandica ssp. surrecta,Synonym,Pedicularis groenlandica,,,,2966,PEDGROSUR,,Pedicularis groenlandica Retz. ssp. surrecta (Benth.) Piper 
Dicotyledons,Orobanchaceae,Pedicularis howellii,Accepted,Pedicularis howellii,,native,,2969,PEDHOW,,Pedicularis howellii A. Gray 
Dicotyledons,Orobanchaceae,Pedicularis pachyrhiza,Synonym,Pedicularis bracteosa var. pachyrhiza,,,,2934,PEDPAC,,Pedicularis pachyrhiza Pennell 
Dicotyledons,Orobanchaceae,Pedicularis racemosa,Accepted,Pedicularis racemosa,,native,,2996,PEDRAC,,Pedicularis racemosa Douglas ex Benth. 
Dicotyledons,Orobanchaceae,Pedicularis racemosa ssp. alba,Synonym,Pedicularis racemosa,,,,2996,PEDRACALB3,,Pedicularis racemosa Douglas ex Benth. ssp. alba Pennell 
